"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2008Q4","Construction (F)","Clerical, sales and service employees","Euro","589.49"
"Average Weekly Earnings","2008Q4","Construction (F)","Production, transport, craft and other manual workers","Euro","705.09"
"Average Weekly Earnings","2008Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","518.78"
"Average Weekly Earnings","2008Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro","1052.74"
"Average Weekly Earnings","2008Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro","398.73"
"Average Weekly Earnings","2008Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro","461.49"
"Average Weekly Earnings","2008Q4","Transportation and storage (H)","All employees","Euro","796.66"
"Average Weekly Earnings","2008Q4","Transportation and storage (H)","Managers, professionals and associated professionals","Euro","1536.95"
"Average Weekly Earnings","2008Q4","Transportation and storage (H)","Clerical, sales and service employees","Euro","694.84"
"Average Weekly Earnings","2008Q4","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro","702.17"
"Average Weekly Earnings","2008Q4","Accommodation and food service activities (I)","All employees","Euro","348.21"
"Average Weekly Earnings","2008Q4","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro","701.26"
"Average Weekly Earnings","2008Q4","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro","306.27"
"Average Weekly Earnings","2008Q4","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro","296.07"
"Average Weekly Earnings","2008Q4","Information and communication (J)","All employees","Euro","959.86"
"Average Weekly Earnings","2008Q4","Information and communication (J)","Managers, professionals and associated professionals","Euro","1239.08"
"Average Weekly Earnings","2008Q4","Information and communication (J)","Clerical, sales and service employees","Euro","673.41"
"Average Weekly Earnings","2008Q4","Information and communication (J)","Production, transport, craft and other manual workers","Euro","738.43"
"Average Weekly Earnings","2008Q4","Financial and insurance activities (K)","All employees","Euro","1022.61"
"Average Weekly Earnings","2008Q4","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q4","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q4","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q4","Real estate activities (L)","All employees","Euro","678.79"
"Average Weekly Earnings","2008Q4","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q4","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q4","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q4","Professional, scientific and technical activities (M)","All employees","Euro","822.82"
"Average Weekly Earnings","2008Q4","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro","1105.52"
"Average Weekly Earnings","2008Q4","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro","521.82"
"Average Weekly Earnings","2008Q4","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro","648.65"
"Average Weekly Earnings","2008Q4","Administrative and support service activities (N)","All employees","Euro","496.67"
"Average Weekly Earnings","2008Q4","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro","969.34"
"Average Weekly Earnings","2008Q4","Administrative and support service activities (N)","Clerical, sales and service employees","Euro","449.82"
"Average Weekly Earnings","2008Q4","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro","399.73"
"Average Weekly Earnings","2008Q4","Public administration and defence; compulsory social security (O)","All employees","Euro","982.84"
"Average Weekly Earnings","2008Q4","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro","1163.56"
"Average Weekly Earnings","2008Q4","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro","868.64"
"Average Weekly Earnings","2008Q4","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro","721.4"
"Average Weekly Earnings","2008Q4","Education (P)","All employees","Euro","890.33"
"Average Weekly Earnings","2008Q4","Education (P)","Managers, professionals and associated professionals","Euro","1016.44"
"Average Weekly Earnings","2008Q4","Education (P)","Clerical, sales and service employees","Euro","506.98"
"Average Weekly Earnings","2008Q4","Education (P)","Production, transport, craft and other manual workers","Euro","432.97"
"Average Weekly Earnings","2008Q4","Human health and social work activities (Q)","All employees","Euro","772.11"
"Average Weekly Earnings","2008Q4","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro","1056.86"
"Average Weekly Earnings","2008Q4","Human health and social work activities (Q)","Clerical, sales and service employees","Euro","510.2"
"Average Weekly Earnings","2008Q4","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro","480.06"
"Average Weekly Earnings","2008Q4","Arts, entertainment and recreation (R)","All employees","Euro","495.31"
"Average Weekly Earnings","2008Q4","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q4","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q4","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q4","Other service activities (S)","All employees","Euro","522.91"
"Average Weekly Earnings","2008Q4","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q4","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q4","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q4","Industry (B to E)","All employees","Euro","818.55"
"Average Weekly Earnings","2008Q4","Industry (B to E)","Managers, professionals and associated professionals","Euro","1228.78"
"Average Weekly Earnings","2008Q4","Industry (B to E)","Clerical, sales and service employees","Euro","775.19"
"Average Weekly Earnings","2008Q4","Industry (B to E)","Production, transport, craft and other manual workers","Euro","670.36"
"Average Weekly Earnings","2008Q4","Electricity, water supply and waste management (D,E)","All employees","Euro","1125.57"
"Average Weekly Earnings","2008Q4","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro","1600.07"
"Average Weekly Earnings","2008Q4","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro","926.86"
"Average Weekly Earnings","2008Q4","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro","1033.71"
"Average Weekly Earnings","2008Q4","Financial, insurance and real estate activities (K,L)","All employees","Euro","986.39"
"Average Weekly Earnings","2008Q4","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro","1364.88"
"Average Weekly Earnings","2008Q4","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro","647.4"
"Average Weekly Earnings","2008Q4","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro","528.55"
"Average Weekly Earnings","2008Q4","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","507.97"
"Average Weekly Earnings","2008Q4","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro","991.01"
"Average Weekly Earnings","2008Q4","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro","402.77"
"Average Weekly Earnings","2008Q4","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro","377.94"
"Average Weekly Earnings","2009Q1","All NACE economic sectors","All employees","Euro","709.55"
"Average Weekly Earnings","2009Q1","All NACE economic sectors","Managers, professionals and associated professionals","Euro","1111.31"
