"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2008Q2","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro","535.3"
"Average Weekly Earnings","2008Q2","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","488.7"
"Average Weekly Earnings","2008Q2","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro","919.41"
"Average Weekly Earnings","2008Q2","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro","392.54"
"Average Weekly Earnings","2008Q2","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro","362.44"
"Average Weekly Earnings","2008Q3","All NACE economic sectors","All employees","Euro","696.11"
"Average Weekly Earnings","2008Q3","All NACE economic sectors","Managers, professionals and associated professionals","Euro","1080.77"
"Average Weekly Earnings","2008Q3","All NACE economic sectors","Clerical, sales and service employees","Euro","501.42"
"Average Weekly Earnings","2008Q3","All NACE economic sectors","Production, transport, craft and other manual workers","Euro","553.75"
"Average Weekly Earnings","2008Q3","Mining and quarrying (B)","All employees","Euro","887.08"
"Average Weekly Earnings","2008Q3","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro","1297.34"
"Average Weekly Earnings","2008Q3","Mining and quarrying (B)","Clerical, sales and service employees","Euro","703.17"
"Average Weekly Earnings","2008Q3","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro","823.73"
"Average Weekly Earnings","2008Q3","Manufacturing (C)","All employees","Euro","747.12"
"Average Weekly Earnings","2008Q3","Manufacturing (C)","Managers, professionals and associated professionals","Euro","1129"
"Average Weekly Earnings","2008Q3","Manufacturing (C)","Clerical, sales and service employees","Euro","711.85"
"Average Weekly Earnings","2008Q3","Manufacturing (C)","Production, transport, craft and other manual workers","Euro","611.87"
"Average Weekly Earnings","2008Q3","Construction (F)","All employees","Euro","754.72"
"Average Weekly Earnings","2008Q3","Construction (F)","Managers, professionals and associated professionals","Euro","1207.03"
"Average Weekly Earnings","2008Q3","Construction (F)","Clerical, sales and service employees","Euro","577.85"
"Average Weekly Earnings","2008Q3","Construction (F)","Production, transport, craft and other manual workers","Euro","672.13"
"Average Weekly Earnings","2008Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","508.29"
